Year,Season,District,Crop,Area_Hectares,Production_Tonnes,Yield_KgPerHa,Rainfall_mm,Min_Temperature_C,Max_Temperature_C,Humidity_Percent,Soil_pH,Organic_Carbon_Percent,Nitrogen_KgPerHa,Phosphorus_KgPerHa,Potassium_KgPerHa,Soil_Type,Irrigation_Type,Pest_Incidence_Score,Urea_Applied_KgPerHa,DAP_Applied_KgPerHa,Potash_Applied_KgPerHa
2016,Rabi,Thane,Safflower,1230,666,542,201.99,10.84,28.18,47.16,7.67,1.01,314.84,31.71,253.23,Black Soil,Rainfed,4,85.02,94.2,28.04
2016,Rabi,Wardha,Safflower,1353,995,736,254.35,17.47,31.57,67.42,7.09,0.62,151.45,11.83,188.61,Black Soil,Rainfed,5,133.18,98.63,49.63
2016,Rabi,Washim,Safflower,1014,565,558,55.13,12.91,28.72,66.16,7.37,0.4,179.55,22.84,151.31,Black Soil,Drip,5,98.29,65.99,69.75
2016,Rabi,Yavatmal,Safflower,838,584,697,91.05,10.99,31.86,51.81,6.45,0.45,283.52,28.28,222.97,Black Soil,Drip,0,81.34,62.37,43.4
2017,Kharif,Ahmednagar,Soybean,1505,1717,1141,596.6,22.88,32.2,80.6,6.01,0.81,217.84,19.68,223.19,Laterite Soil,Irrigated,5,76.46,66.37,47.03
2017,Kharif,Akola,Soybean,3314,4589,1385,619.98,20.4,33.44,73.86,6.66,0.95,278.75,19.98,240.78,Red Soil,Irrigated,2,111.19,56.15,62.12
2017,Kharif,Amravati,Soybean,4094,5142,1256,1161.41,23.95,32.99,74.07,6.09,0.34,200.16,30.69,256.34,Red Soil,Rainfed,0,107.82,64.87,54.77
2017,Kharif,Beed,Soybean,3916,4076,1041,947.11,23.97,30.9,73.34,6.2,1.09,251.53,34.24,178.89,Black Soil,Rainfed,3,121.02,55.47,70.0
2017,Kharif,Bhandara,Soybean,2684,3601,1342,733.64,23.32,33.92,72.94,6.86,1.19,335.51,19.23,137.86,Laterite Soil,Sprinkler,0,85.78,95.91,62.67
2017,Kharif,Buldhana,Soybean,1558,2101,1349,1144.29,21.82,36.86,66.66,7.03,0.4,282.02,35.08,234.95,Red Soil,Rainfed,0,70.45,53.66,48.19
2017,Kharif,Chandrapur,Soybean,1507,1213,805,427.77,20.51,34.81,81.85,6.24,0.71,332.18,34.43,203.15,Laterite Soil,Rainfed,2,62.47,43.19,41.06
2017,Kharif,Dhule,Soybean,3695,5520,1494,768.83,21.63,33.81,75.07,7.97,1.14,322.43,36.67,194.86,Red Soil,Drip,0,139.3,80.34,55.1
2017,Kharif,Gadchiroli,Soybean,1755,1840,1049,841.78,23.3,32.58,72.03,7.23,0.66,189.67,38.85,201.83,Red Soil,Rainfed,5,90.72,58.64,52.65
2017,Kharif,Gondia,Soybean,3279,5128,1564,721.43,24.54,35.1,79.23,6.74,1.16,314.09,35.62,147.55,Black Soil,Rainfed,5,135.54,32.23,24.57
2017,Kharif,Hingoli,Soybean,3110,3868,1244,491.16,23.38,35.62,78.02,7.46,0.3,340.78,34.43,264.64,Black Soil,Sprinkler,3,98.1,44.42,69.71
2017,Kharif,Jalgaon,Soybean,4444,4595,1034,1033.53,22.92,37.27,83.55,6.13,0.66,154.69,19.88,205.9,Alluvial Soil,Drip,4,113.45,67.29,43.55
2017,Kharif,Jalna,Soybean,3969,3580,902,780.75,20.61,37.42,71.35,7.47,0.63,153.78,13.02,199.4,Red Soil,Rainfed,4,134.1,65.94,28.35
2017,Kharif,Kolhapur,Soybean,911,1243,1365,1045.75,23.79,32.86,84.74,6.53,0.53,304.45,23.04,172.93,Black Soil,Irrigated,2,79.64,49.61,28.76
2017,Kharif,Latur,Soybean,2675,2123,794,832.95,20.12,30.64,70.45,7.89,0.95,167.63,35.39,237.17,Red Soil,Drip,1,112.65,85.67,78.14
2017,Kharif,Mumbai City,Soybean,2187,2854,1305,470.79,20.13,36.33,66.47,6.68,0.36,185.9,32.97,198.96,Laterite Soil,Rainfed,3,76.49,54.49,62.5
2017,Kharif,Nagpur,Soybean,1605,2311,1440,742.98,20.91,37.54,78.88,6.42,0.6,311.93,30.87,242.53,Black Soil,Irrigated,0,86.91,80.55,30.45
2017,Kharif,Nanded,Soybean,1821,2452,1347,883.36,24.4,32.6,69.91,6.81,0.8,195.68,34.67,167.3,Red Soil,Rainfed,2,66.27,89.8,61.21
2017,Kharif,Nandurbar,Soybean,1955,2961,1515,1033.08,22.91,36.25,64.79,6.1,1.09,165.11,17.4,231.25,Black Soil,Drip,3,52.95,42.48,79.19
2017,Kharif,Nashik,Soybean,4582,7936,1732,588.33,23.63,33.02,60.2,6.02,0.71,247.67,10.68,229.91,Black Soil,Rainfed,0,81.21,30.88,25.76
2017,Kharif,Osmanabad,Soybean,4475,6515,1456,611.52,22.64,34.14,83.11,7.1,0.82,230.33,38.47,244.35,Black Soil,Drip,1,55.95,49.13,75.48
2017,Kharif,Parbhani,Soybean,2886,2357,817,1176.46,23.58,32.59,67.97,6.9,0.86,179.27,15.67,257.51,Black Soil,Rainfed,4,80.49,99.31,24.55
2017,Kharif,Pune,Soybean,927,764,825,772.03,23.45,37.07,65.17,7.84,1.03,345.77,36.41,164.79,Black Soil,Rainfed,3,111.42,86.3,73.96
2017,Kharif,Raigad,Soybean,4183,3384,809,543.34,23.24,33.71,72.38,6.86,1.16,192.95,25.5,237.76,Red Soil,Sprinkler,4,145.01,42.56,21.53
2017,Kharif,Ratnagiri,Soybean,1524,1438,944,551.21,22.35,35.76,73.24,6.79,0.59,272.08,38.17,227.48,Black Soil,Rainfed,3,147.89,42.07,41.45
2017,Kharif,Sangli,Soybean,3947,6267,1588,1019.58,20.17,34.75,64.67,6.69,0.61,243.81,20.02,137.18,Black Soil,Rainfed,1,132.69,36.86,62.24
2017,Kharif,Satara,Soybean,2526,2584,1023,865.74,21.24,35.29,77.75,6.02,0.7,318.65,24.69,169.82,Laterite Soil,Rainfed,0,55.13,56.61,40.23
2017,Kharif,Solapur,Soybean,1547,1885,1219,522.73,22.11,30.55,72.77,6.91,0.99,281.96,23.38,155.95,Red Soil,Irrigated,5,141.48,34.51,23.3
2017,Kharif,Thane,Soybean,3789,3959,1045,522.06,24.3,33.74,70.11,6.9,1.17,320.05,31.19,166.48,Black Soil,Sprinkler,3,94.22,35.01,43.38
2017,Kharif,Wardha,Soybean,3313,4293,1296,484.58,23.32,32.29,64.97,7.87,0.32,237.56,10.65,197.37,Red Soil,Rainfed,3,100.79,41.36,44.98
2017,Kharif,Washim,Soybean,4741,3882,819,579.91,22.6,34.5,83.62,6.39,0.88,313.45,26.81,160.8,Black Soil,Rainfed,5,61.81,33.94,44.72
2017,Kharif,Yavatmal,Soybean,2767,2368,856,869.74,22.38,32.61,78.04,6.15,1.12,154.13,38.87,193.98,Black Soil,Rainfed,0,133.56,97.7,46.32
2017,Kharif,Ahmednagar,Groundnut,1971,3758,1907,565.41,21.0,34.05,76.8,7.82,0.75,343.17,38.25,258.41,Black Soil,Rainfed,5,135.97,48.04,33.59
2017,Kharif,Akola,Groundnut,3239,7109,2195,608.51,20.81,32.69,73.87,7.15,0.42,241.51,18.05,254.72,Black Soil,Drip,2,110.46,78.05,21.1
2017,Kharif,Amravati,Groundnut,2096,3502,1671,612.3,23.44,36.34,67.67,6.07,1.14,219.04,13.19,198.7,Laterite Soil,Rainfed,3,74.75,35.58,24.19
2017,Kharif,Beed,Groundnut,1965,2951,1502,435.77,23.78,32.14,71.92,7.65,0.54,187.04,30.44,205.34,Red Soil,Rainfed,3,89.91,73.08,41.91
2017,Kharif,Bhandara,Groundnut,1184,1380,1166,400.91,20.39,36.1,74.61,6.08,0.74,292.41,36.07,269.45,Black Soil,Rainfed,0,128.49,44.0,27.85
2017,Kharif,Buldhana,Groundnut,638,785,1231,1062.62,21.26,36.22,83.93,7.39,0.84,242.08,20.93,176.48,Red Soil,Irrigated,5,97.54,99.61,78.8
2017,Kharif,Chandrapur,Groundnut,2347,3649,1555,495.08,20.07,37.12,66.12,7.46,1.03,321.8,39.75,167.05,Red Soil,Rainfed,0,131.52,35.93,57.38
2017,Kharif,Dhule,Groundnut,1273,1671,1313,462.82,22.8,32.66,63.87,7.7,0.77,336.66,34.18,230.88,Black Soil,Rainfed,4,78.81,83.79,32.32
2017,Kharif,Gadchiroli,Groundnut,1523,2395,1573,1057.82,22.81,37.72,65.43,7.43,0.63,205.79,15.41,208.4,Black Soil,Rainfed,1,130.17,82.38,67.64
2017,Kharif,Gondia,Groundnut,1303,1665,1278,1133.88,21.96,36.76,60.01,6.34,0.33,215.63,37.25,135.51,Red Soil,Rainfed,1,76.4,96.35,42.03
2017,Kharif,Hingoli,Groundnut,2988,4490,1503,949.51,23.88,32.49,74.19,7.96,1.11,340.53,21.58,245.91,Red Soil,Rainfed,4,117.71,43.92,24.78
2017,Kharif,Jalgaon,Groundnut,2546,5030,1976,938.17,21.94,32.01,64.16,6.7,0.97,301.34,30.01,157.44,Red Soil,Rainfed,5,135.75,30.01,41.75
2017,Kharif,Jalna,Groundnut,1820,3143,1727,754.6,20.93,33.88,80.75,7.9,0.87,220.78,28.1,169.92,Alluvial Soil,Drip,2,82.48,50.54,22.01
2017,Kharif,Kolhapur,Groundnut,1872,2675,1429,1118.01,24.73,33.18,65.43,6.75,0.6,185.23,28.22,196.26,Laterite Soil,Rainfed,0,86.85,33.78,65.78
2017,Kharif,Latur,Groundnut,2121,4441,2094,883.29,23.75,37.49,74.79,6.02,0.33,290.47,18.37,212.7,Black Soil,Rainfed,4,148.49,91.45,73.71
2017,Kharif,Mumbai City,Groundnut,1823,3666,2011,1194.58,20.06,32.4,75.58,6.94,0.4,223.56,10.76,222.84,Laterite Soil,Drip,2,140.38,58.69,51.5
2017,Kharif,Nagpur,Groundnut,2097,4294,2048,762.21,21.22,37.02,78.57,7.8,1.04,348.07,15.77,133.88,Black Soil,Rainfed,3,113.3,70.48,35.55
2017,Kharif,Nanded,Groundnut,3311,4973,1502,581.6,21.11,31.29,69.3,7.69,1.05,226.56,27.67,235.33,Black Soil,Rainfed,3,110.69,64.21,44.48
2017,Kharif,Nandurbar,Groundnut,1226,2362,1927,844.84,21.42,30.19,75.63,6.51,0.9,299.4,37.48,273.3,Black Soil,Sprinkler,5,121.85,35.11,69.27
2017,Kharif,Nashik,Groundnut,1852,2450,1323,768.26,20.2,30.12,62.98,7.3,0.81,260.69,10.96,195.09,Alluvial Soil,Rainfed,4,57.12,92.59,73.29
2017,Kharif,Osmanabad,Groundnut,1827,2280,1248,747.35,20.66,33.64,80.26,7.66,0.67,253.76,11.01,227.91,Black Soil,Rainfed,5,96.18,31.48,33.65
2017,Kharif,Parbhani,Groundnut,3049,5341,1752,943.45,22.35,33.1,69.4,7.28,0.75,319.83,36.24,147.29,Black Soil,Irrigated,0,51.86,92.2,33.61
2017,Kharif,Pune,Groundnut,1992,3203,1608,527.7,21.03,36.31,64.18,6.06,0.87,345.2,19.94,138.98,Red Soil,Sprinkler,4,112.25,52.05,52.51
2017,Kharif,Raigad,Groundnut,1658,2604,1571,706.24,22.95,35.18,71.29,7.94,0.38,219.41,22.57,122.71,Black Soil,Rainfed,3,83.64,80.83,50.6
2017,Kharif,Ratnagiri,Groundnut,580,1024,1767,870.31,22.51,36.99,62.1,7.36,0.91,283.82,38.27,251.69,Black Soil,Rainfed,0,55.4,55.22,68.79
2017,Kharif,Sangli,Groundnut,1447,3092,2137,1040.33,22.92,37.98,71.4,7.5,0.9,348.29,31.4,146.24,Alluvial Soil,Irrigated,2,115.76,91.82,54.62
2017,Kharif,Satara,Groundnut,3339,4564,1367,1044.87,21.4,32.94,61.94,7.43,0.3,159.31,10.13,223.25,Black Soil,Rainfed,0,145.34,33.75,62.56
2017,Kharif,Solapur,Groundnut,2177,2562,1177,737.98,23.93,37.79,61.49,7.62,0.57,260.15,18.7,218.15,Black Soil,Rainfed,2,66.64,85.05,35.0
2017,Kharif,Thane,Groundnut,2092,4276,2044,581.72,20.04,33.94,73.28,6.4,0.56,303.03,24.11,170.78,Red Soil,Irrigated,5,65.67,81.91,55.97
2017,Kharif,Wardha,Groundnut,1121,2088,1863,499.6,24.85,34.44,64.57,6.26,0.83,276.6,11.59,158.88,Laterite Soil,Rainfed,2,120.8,47.8,71.73
2017,Kharif,Washim,Groundnut,3312,7087,2140,776.43,24.74,36.78,68.33,6.8,0.68,275.24,18.6,275.08,Red Soil,Rainfed,0,147.3,40.72,36.16
2017,Kharif,Yavatmal,Groundnut,1525,2040,1338,1150.39,24.13,35.58,62.06,6.84,0.8,187.48,23.45,216.16,Black Soil,Irrigated,5,84.61,82.27,70.82
2017,Kharif,Ahmednagar,Sesame,258,85,333,675.54,23.47,36.08,81.32,7.95,0.54,293.22,21.83,228.33,Black Soil,Sprinkler,1,110.02,49.88,72.83
2017,Kharif,Akola,Sesame,527,173,330,816.17,23.48,37.54,64.48,6.21,0.35,237.21,28.69,254.49,Red Soil,Rainfed,5,93.54,50.63,23.0
2017,Kharif,Amravati,Sesame,223,95,427,885.22,20.52,36.69,80.36,7.07,0.43,155.12,33.9,216.02,Red Soil,Rainfed,1,102.86,71.31,37.88
2017,Kharif,Beed,Sesame,740,421,570,1105.37,23.2,30.54,66.33,7.62,0.45,289.7,33.41,172.82,Black Soil,Rainfed,5,123.98,79.42,52.05
2017,Kharif,Bhandara,Sesame,504,147,293,998.72,23.79,37.62,61.35,7.19,0.69,216.13,12.71,210.02,Black Soil,Rainfed,2,56.64,41.96,38.67
2017,Kharif,Buldhana,Sesame,674,242,360,416.02,22.85,32.68,60.22,6.38,1.15,254.23,39.92,203.97,Red Soil,Rainfed,5,109.03,74.1,70.73
2017,Kharif,Chandrapur,Sesame,636,214,337,546.98,21.89,37.16,60.25,7.36,0.73,182.21,19.63,155.99,Laterite Soil,Rainfed,3,112.58,58.64,35.24
2017,Kharif,Dhule,Sesame,417,239,574,723.01,21.04,35.19,81.78,7.5,1.08,257.31,32.56,142.41,Black Soil,Rainfed,3,89.72,44.85,74.67
2017,Kharif,Gadchiroli,Sesame,654,428,655,820.16,21.04,34.2,73.88,7.48,0.5,223.66,20.92,273.51,Black Soil,Irrigated,0,126.46,41.75,45.17
2017,Kharif,Gondia,Sesame,748,320,428,855.31,21.91,37.48,70.8,7.08,0.7,262.96,24.12,127.67,Laterite Soil,Rainfed,4,92.27,75.6,35.54
2017,Kharif,Hingoli,Sesame,764,291,382,749.7,23.53,34.54,83.77,7.2,0.31,220.58,14.29,267.94,Black Soil,Rainfed,0,134.67,51.6,79.51
2017,Kharif,Jalgaon,Sesame,309,132,429,610.94,20.33,32.95,80.82,6.65,0.96,168.78,29.78,170.68,Red Soil,Rainfed,0,147.25,32.63,37.11
2017,Kharif,Jalna,Sesame,321,109,340,715.7,21.86,33.65,64.43,7.27,0.63,320.47,32.7,217.68,Black Soil,Rainfed,2,64.51,64.45,43.64
2017,Kharif,Kolhapur,Sesame,212,103,488,609.19,23.61,32.57,78.12,6.57,0.98,156.12,18.5,199.78,Black Soil,Rainfed,4,90.79,79.35,33.61
2017,Kharif,Latur,Sesame,673,382,569,1017.14,20.01,37.11,66.75,7.34,1.03,182.83,23.28,199.01,Black Soil,Rainfed,0,120.68,80.57,25.1
2017,Kharif,Mumbai City,Sesame,515,221,431,538.7,21.7,33.27,68.72,7.53,0.39,220.24,35.12,130.69,Alluvial Soil,Sprinkler,1,56.39,41.62,38.06
2017,Kharif,Nagpur,Sesame,441,201,458,960.25,21.01,33.44,72.35,6.11,1.16,175.72,30.92,201.0,Black Soil,Sprinkler,0,60.64,97.85,31.98
2017,Kharif,Nanded,Sesame,412,199,485,818.16,22.75,30.78,63.31,7.35,0.91,345.82,31.36,198.92,Laterite Soil,Rainfed,4,78.06,68.98,62.52
2017,Kharif,Nandurbar,Sesame,368,167,456,1002.8,22.63,32.95,61.65,7.24,0.83,206.18,37.31,168.66,Black Soil,Rainfed,5,146.2,35.7,46.15
2017,Kharif,Nashik,Sesame,650,388,597,463.91,24.28,30.74,80.86,6.72,0.85,180.58,11.99,154.55,Black Soil,Rainfed,0,103.82,85.45,49.69
2017,Kharif,Osmanabad,Sesame,499,169,339,561.97,24.45,36.87,61.92,6.21,0.75,271.84,18.25,234.69,Red Soil,Rainfed,3,98.1,59.01,26.4
2017,Kharif,Parbhani,Sesame,309,144,468,1020.12,22.17,31.54,82.61,6.4,0.32,154.06,28.67,225.87,Black Soil,Rainfed,0,144.92,87.8,41.1
2017,Kharif,Pune,Sesame,516,222,432,961.92,22.79,36.82,67.88,7.05,0.74,220.78,36.74,146.54,Black Soil,Rainfed,3,69.46,57.35,76.79
2017,Kharif,Raigad,Sesame,471,314,667,685.51,21.5,31.71,60.94,6.09,1.08,285.68,29.82,218.34,Laterite Soil,Rainfed,0,133.57,82.86,65.18
2017,Kharif,Ratnagiri,Sesame,370,163,441,1158.92,23.21,37.02,76.9,6.71,0.76,285.15,38.81,160.59,Laterite Soil,Sprinkler,3,69.35,92.44,21.86
2017,Kharif,Sangli,Sesame,218,110,506,474.76,23.53,33.91,64.77,6.03,0.68,167.13,12.83,162.77,Red Soil,Rainfed,3,127.53,70.21,61.74
2017,Kharif,Satara,Sesame,867,306,354,831.48,24.33,31.06,74.89,6.9,0.68,200.51,21.17,137.3,Black Soil,Rainfed,4,131.31,32.34,25.47
2017,Kharif,Solapur,Sesame,561,296,528,1036.07,20.07,34.38,78.58,6.43,0.36,181.18,23.26,201.02,Black Soil,Rainfed,4,140.49,69.2,47.02
2017,Kharif,Thane,Sesame,213,57,272,447.77,24.96,30.58,61.15,6.71,1.17,213.74,22.3,221.45,Black Soil,Drip,2,70.95,32.13,46.02
2017,Kharif,Wardha,Sesame,499,211,424,696.85,23.17,30.15,78.06,7.67,0.66,239.59,35.54,244.1,Black Soil,Rainfed,5,144.01,56.76,46.82
2017,Kharif,Washim,Sesame,165,55,335,936.61,22.35,32.77,81.56,7.71,0.32,271.9,21.03,186.51,Laterite Soil,Rainfed,2,125.69,33.33,77.55
2017,Kharif,Yavatmal,Sesame,272,125,462,900.75,22.08,34.98,65.26,6.68,0.81,268.62,21.17,164.81,Black Soil,Rainfed,5,122.38,93.38,67.73
2017,Rabi,Ahmednagar,Groundnut,3012,5945,1974,258.59,12.81,25.44,58.68,6.38,0.81,297.9,33.51,168.29,Red Soil,Irrigated,4,110.65,82.87,74.1
2017,Rabi,Akola,Groundnut,987,1526,1547,118.76,16.68,27.06,41.71,6.1,0.68,336.37,18.58,188.35,Black Soil,Rainfed,3,91.35,59.65,62.16
2017,Rabi,Amravati,Groundnut,994,1463,1472,165.35,13.7,28.81,60.13,6.04,0.75,267.66,20.3,226.94,Black Soil,Rainfed,4,85.11,55.28,71.13
2017,Rabi,Beed,Groundnut,2241,3045,1359,273.95,12.2,26.91,49.08,7.22,0.69,295.35,36.85,227.87,Black Soil,Sprinkler,5,103.29,83.14,65.78
2017,Rabi,Bhandara,Groundnut,1215,1748,1439,111.33,17.73,25.06,66.39,6.4,1.15,218.46,23.21,233.14,Red Soil,Rainfed,4,123.07,32.96,20.67
2017,Rabi,Buldhana,Groundnut,2192,2994,1366,62.78,17.63,26.0,61.25,6.14,0.4,251.78,23.95,272.25,Alluvial Soil,Irrigated,0,116.43,39.15,58.4
2017,Rabi,Chandrapur,Groundnut,1740,2893,1663,259.23,10.22,30.84,44.21,7.77,0.96,182.93,26.97,170.03,Black Soil,Drip,2,141.69,89.56,50.6
2017,Rabi,Dhule,Groundnut,2934,4984,1699,199.16,15.8,26.3,68.93,6.81,0.89,153.77,13.82,245.13,Alluvial Soil,Rainfed,1,126.92,60.02,65.51
2017,Rabi,Gadchiroli,Groundnut,2507,3875,1546,110.46,16.39,28.03,67.53,6.9,0.97,243.39,16.83,151.9,Black Soil,Irrigated,1,51.85,80.73,40.99
2017,Rabi,Gondia,Groundnut,1368,1913,1399,81.68,15.86,26.88,53.46,7.77,1.17,234.91,35.04,128.54,Laterite Soil,Irrigated,5,139.0,89.17,37.82
2017,Rabi,Hingoli,Groundnut,2754,5753,2089,226.02,12.08,31.59,55.9,7.66,0.63,170.04,30.21,121.24,Black Soil,Rainfed,3,130.82,39.14,77.78
2017,Rabi,Jalgaon,Groundnut,1120,1637,1462,208.27,14.43,29.94,52.52,7.52,0.65,315.27,18.02,164.41,Red Soil,Rainfed,5,60.07,59.66,38.43
2017,Rabi,Jalna,Groundnut,1236,2041,1652,83.35,15.49,26.49,65.73,6.12,0.49,349.71,22.99,232.47,Black Soil,Irrigated,3,81.45,88.02,56.21
2017,Rabi,Kolhapur,Groundnut,690,1102,1598,170.63,17.52,27.06,52.47,7.57,0.79,259.41,11.6,183.78,Black Soil,Sprinkler,0,149.75,52.67,50.85
2017,Rabi,Latur,Groundnut,840,1329,1583,199.56,16.84,27.67,62.2,7.26,0.64,178.21,31.28,256.73,Red Soil,Rainfed,1,121.25,55.75,40.2
2017,Rabi,Mumbai City,Groundnut,2356,4655,1976,276.56,14.05,29.16,61.24,7.67,0.41,312.01,24.44,192.1,Black Soil,Rainfed,2,62.18,90.56,53.98
2017,Rabi,Nagpur,Groundnut,3182,6262,1968,80.57,16.79,27.9,47.61,7.74,0.69,311.67,17.9,120.63,Black Soil,Rainfed,4,130.84,66.44,63.45
2017,Rabi,Nanded,Groundnut,1846,2401,1301,55.82,12.84,30.18,55.3,6.49,0.6,322.61,25.77,204.54,Alluvial Soil,Rainfed,0,131.17,83.12,35.95
2017,Rabi,Nandurbar,Groundnut,2082,2985,1434,251.41,13.02,30.52,50.54,6.33,0.33,227.14,37.11,158.24,Black Soil,Sprinkler,2,71.75,95.02,38.42
2017,Rabi,Nashik,Groundnut,3321,6027,1815,171.39,12.74,27.93,67.87,7.82,0.94,326.94,19.59,180.98,Red Soil,Irrigated,4,133.6,38.59,69.35
2017,Rabi,Osmanabad,Groundnut,1167,2029,1739,287.79,16.1,28.01,41.63,6.34,0.71,312.77,21.42,206.16,Laterite Soil,Sprinkler,5,128.17,54.87,54.46
2017,Rabi,Parbhani,Groundnut,2517,3430,1363,109.2,14.02,26.9,68.43,6.93,0.35,295.85,19.87,224.56,Black Soil,Rainfed,3,136.48,91.96,22.7
2017,Rabi,Pune,Groundnut,1681,2403,1430,133.19,13.06,29.16,42.09,6.51,0.48,153.18,26.11,209.77,Black Soil,Rainfed,0,57.6,78.68,35.16
2017,Rabi,Raigad,Groundnut,2590,4504,1739,151.84,15.59,31.33,64.16,6.55,1.09,316.68,37.87,193.39,Laterite Soil,Rainfed,5,148.49,86.98,29.88
2017,Rabi,Ratnagiri,Groundnut,2892,4844,1675,103.9,13.19,28.56,64.31,7.68,1.12,251.85,30.83,137.89,Red Soil,Rainfed,0,113.41,47.99,23.13
2017,Rabi,Sangli,Groundnut,2850,4725,1658,81.86,14.36,31.01,60.34,6.59,0.81,292.97,31.84,226.65,Laterite Soil,Drip,3,115.97,45.99,45.38
2017,Rabi,Satara,Groundnut,2118,4111,1941,122.64,12.22,29.67,66.88,7.16,0.77,182.08,31.46,232.37,Alluvial Soil,Rainfed,5,69.39,41.32,34.43
2017,Rabi,Solapur,Groundnut,3358,7122,2121,254.48,12.32,27.38,68.08,6.33,0.34,240.81,34.04,243.47,Alluvial Soil,Rainfed,1,137.07,74.38,70.62
2017,Rabi,Thane,Groundnut,1784,3849,2158,65.76,17.22,30.7,49.43,7.95,0.56,327.86,36.42,241.23,Red Soil,Rainfed,5,85.68,85.46,65.49
2017,Rabi,Wardha,Groundnut,810,1180,1457,246.4,15.81,29.91,61.49,6.91,0.73,243.57,11.0,158.57,Black Soil,Drip,0,63.84,38.38,62.0
2017,Rabi,Washim,Groundnut,2507,3437,1371,218.67,10.45,25.87,54.98,6.67,0.57,163.41,36.87,230.69,Black Soil,Rainfed,1,102.67,36.72,44.12
2017,Rabi,Yavatmal,Groundnut,809,1181,1460,78.7,10.38,28.97,47.29,7.47,0.92,213.62,15.3,136.38,Red Soil,Rainfed,5,52.1,62.61,34.32
2017,Rabi,Ahmednagar,Sunflower,1034,1124,1088,73.36,13.87,25.64,43.87,6.48,1.07,334.92,34.79,173.45,Black Soil,Rainfed,4,65.64,77.87,21.18
2017,Rabi,Akola,Sunflower,951,1008,1060,291.95,16.78,27.17,45.89,7.1,0.71,325.55,13.0,161.24,Laterite Soil,Rainfed,1,137.32,56.1,70.49
2017,Rabi,Amravati,Sunflower,1155,1116,967,193.21,13.21,28.0,69.03,7.45,0.67,153.82,11.02,229.57,Laterite Soil,Irrigated,5,147.76,30.33,72.42
2017,Rabi,Beed,Sunflower,1724,1541,894,181.46,16.33,25.81,67.83,7.64,0.5,324.84,17.9,152.85,Black Soil,Sprinkler,1,57.08,58.02,54.62
2017,Rabi,Bhandara,Sunflower,1254,802,640,289.43,10.24,31.71,46.5,6.1,0.56,307.26,32.57,153.41,Black Soil,Irrigated,2,95.33,80.85,25.73
2017,Rabi,Buldhana,Sunflower,951,622,655,193.73,11.7,26.46,43.76,6.38,0.33,284.85,22.04,209.84,Red Soil,Sprinkler,4,91.51,40.44,77.47
2017,Rabi,Chandrapur,Sunflower,611,420,689,62.93,11.69,25.52,48.67,7.25,0.81,272.43,26.48,163.68,Black Soil,Rainfed,2,111.65,43.06,30.63
2017,Rabi,Dhule,Sunflower,1384,1205,871,221.74,12.31,30.95,53.13,7.94,1.16,304.66,37.97,233.14,Laterite Soil,Rainfed,1,97.3,86.14,67.34
2017,Rabi,Gadchiroli,Sunflower,1131,888,786,194.82,14.63,26.45,63.87,7.26,0.59,196.44,36.36,253.72,Black Soil,Rainfed,4,60.26,89.66,56.08
2017,Rabi,Gondia,Sunflower,2238,1768,790,244.68,15.89,29.83,52.7,7.85,0.37,310.65,16.46,171.84,Red Soil,Irrigated,5,65.4,56.38,57.69
2017,Rabi,Hingoli,Sunflower,1109,808,729,141.26,17.04,25.27,69.64,7.33,0.91,157.6,28.17,197.56,Black Soil,Rainfed,5,101.86,72.27,46.24
2017,Rabi,Jalgaon,Sunflower,386,420,1090,197.2,12.49,28.15,64.17,6.32,0.56,285.9,19.46,246.8,Black Soil,Irrigated,0,51.26,92.88,54.88
2017,Rabi,Jalna,Sunflower,944,1125,1192,172.79,15.46,25.71,49.85,6.15,0.37,189.17,24.56,245.56,Black Soil,Rainfed,0,75.7,89.51,41.33
2017,Rabi,Kolhapur,Sunflower,675,552,818,63.24,16.84,31.49,42.72,6.23,0.33,170.9,16.28,275.21,Red Soil,Irrigated,4,103.51,85.82,55.75
2017,Rabi,Latur,Sunflower,831,843,1015,235.11,13.57,25.48,45.06,7.58,0.88,263.97,15.03,254.04,Alluvial Soil,Rainfed,5,89.08,81.86,56.09
2017,Rabi,Mumbai City,Sunflower,374,306,820,245.04,12.71,27.66,66.64,6.81,0.86,327.85,16.29,277.1,Red Soil,Rainfed,2,59.57,56.8,76.65
2017,Rabi,Nagpur,Sunflower,809,573,709,203.62,15.44,27.46,49.42,7.37,0.49,233.93,15.65,121.33,Alluvial Soil,Rainfed,4,64.03,71.12,32.06
2017,Rabi,Nanded,Sunflower,293,254,870,72.85,11.43,29.82,64.93,6.82,0.92,190.0,39.2,176.0,Laterite Soil,Sprinkler,2,56.71,75.52,27.21
2017,Rabi,Nandurbar,Sunflower,1947,1429,734,288.76,13.97,27.76,54.5,7.58,0.73,306.66,22.95,160.32,Black Soil,Rainfed,3,65.27,88.14,41.33
2017,Rabi,Nashik,Sunflower,1616,1818,1125,275.22,12.5,29.02,55.02,6.98,0.71,191.13,32.67,192.21,Alluvial Soil,Rainfed,1,146.07,38.4,64.27
2017,Rabi,Osmanabad,Sunflower,1590,1640,1032,183.22,15.1,27.13,56.22,6.38,0.47,265.31,30.56,139.26,Black Soil,Rainfed,3,71.4,98.04,28.57
